Chapter,Email_Type,Email
Alpha Upsilon,Basileus,AlphaUpsilonBasileus@oppf.org
Alpha Upsilon,KRS,AlphaUpsilonKRS@oppf.org
Alpha Xi,Basileus,AlphaXiBasileus@oppf.org
Alpha Xi,KRS,AlphaXiKRS@oppf.org
Alpha Zeta,Basileus,AlphaZetaBasileus@oppf.org
Alpha Zeta,KRS,AlphaZetaKRS@oppf.org
Beta,Basileus,BetaBasileus@oppf.org
Beta,KRS,BetaKRS@oppf.org
Beta Alpha,Basileus,BetaAlphaBasileus@oppf.org
Beta Alpha,KRS,BetaAlphaKRS@oppf.org
Beta Alpha Alpha,Basileus,BetaAlphaAlphaBasileus@oppf.org
Beta Alpha Alpha,KRS,BetaAlphaAlphaKRS@oppf.org
Beta Beta,Basileus,BetaBetaBasileus@oppf.org
Beta Beta,KRS,BetaBetaKRS@oppf.org
Beta Beta Beta,Basileus,BetaBetaBetaBasileus@oppf.org
Beta Beta Beta,KRS,BetaBetaBetaKRS@oppf.org
Beta Chi,Basileus,BetaChiBasileus@oppf.org
Beta Chi,KRS,BetaChiKRS@oppf.org
Beta Delta,Basileus,BetaDeltaBasileus@oppf.org
Beta Delta,KRS,BetaDeltaKRS@oppf.org
Beta Delta Delta,Basileus,BetaDeltaDeltaBasileus@oppf.org
Beta Delta Delta,KRS,BetaDeltaDeltaKRS@oppf.org
Beta Epsilon,Basileus,BetaEpsilonBasileus@oppf.org
Beta Epsilon,KRS,BetaEpsilonKRS@oppf.org
Beta Eta,Basileus,BetaEtaBasileus@oppf.org
Beta Eta,KRS,BetaEtaKRS@oppf.org
Beta Gamma,Basileus,BetaGammaBasileus@oppf.org
Beta Gamma,KRS,BetaGammaKRS@oppf.org
Beta Gamma Gamma,Basileus,BetaGammaGammaBasileus@oppf.org
Beta Gamma Gamma,KRS,BetaGammaGammaKRS@oppf.org
Beta Iota,Basileus,BetaIotaBasileus@oppf.org
Beta Iota,KRS,BetaIotaKRS@oppf.org
Beta Iota Iota,Basileus,BetaIotaIotaBasileus@oppf.org
Beta Iota Iota,KRS,BetaIotaIotaKRS@oppf.org
Beta Kappa,Basileus,BetaKappaBasileus@oppf.org
Beta Kappa,KRS,BetaKappaKRS@oppf.org
Beta Kappa Kappa,Basileus,BetaKappaKappaBasileus@oppf.org
Beta Kappa Kappa,KRS,BetaKappaKappaKRS@oppf.org
Beta Lambda,Basileus,BetaLambdaBasileus@oppf.org
Beta Lambda,KRS,BetaLambdaKRS@oppf.org
Beta Lambda Lambda,Basileus,BetaLambdaLambdaBasileus@oppf.org
Beta Lambda Lambda,KRS,BetaLambdaLambdaKRS@oppf.org
Beta Mu,Basileus,BetaMuBasileus@oppf.org
Beta Mu,KRS,BetaMuKRS@oppf.org
Beta Mu Mu,Basileus,BetaMuMuBasileus@oppf.org
Beta Mu Mu,KRS,BetaMuMuKRS@oppf.org
Beta Mu Nu,Basileus,BetaMuNuBasileus@oppf.org
Beta Mu Nu,KRS,BetaMuNuKRS@oppf.org
Beta Nu,Basileus,BetaNuBasileus@oppf.org
Beta Nu,KRS,BetaNuKRS@oppf.org
Beta Nu Nu,Basileus,BetaNuNuBasileus@oppf.org
Beta Nu Nu,KRS,BetaNuNuKRS@oppf.org
Beta Omega,Basileus,BetaOmegaBasileus@oppf.org
Beta Omega,KRS,BetaOmegaKRS@oppf.org
Beta Omicron,Basileus,BetaOmicronBasileus@oppf.org
Beta Omicron,KRS,BetaOmicronKRS@oppf.org
Beta Phi,Basileus,BetaPhiBasileus@oppf.org
Beta Phi,KRS,BetaPhiKRS@oppf.org
Beta Pi,Basileus,BetaPiBasileus@oppf.org
Beta Pi,KRS,BetaPiKRS@oppf.org
Beta Psi,Basileus,BetaPsiBasileus@oppf.org
Beta Psi,KRS,BetaPsiKRS@oppf.org
Beta Rho,Basileus,BetaRhoBasileus@oppf.org
Beta Rho,KRS,BetaRhoKRS@oppf.org
Beta Sigma,Basileus,BetaSigmaBasileus@oppf.org
Beta Sigma,KRS,BetaSigmaKRS@oppf.org
Beta Tau,Basileus,BetaTauBasileus@oppf.org
Beta Tau,KRS,BetaTauKRS@oppf.org
Beta Theta,Basileus,BetaThetaBasileus@oppf.org
Beta Theta,KRS,BetaThetaKRS@oppf.org
Beta Upsilon,Basileus,BetaUpsilonBasileus@oppf.org
Beta Upsilon,KRS,BetaUpsilonKRS@oppf.org
Beta Xi,Basileus,BetaXiBasileus@oppf.org
Beta Xi,KRS,BetaXiKRS@oppf.org
Beta Xi Nu,Basileus,BetaXiNuBasileus@oppf.org
Beta Xi Nu,KRS,BetaXiNuKRS@oppf.org
Beta Zeta,Basileus,BetaZetaBasileus@oppf.org
Beta Zeta,KRS,BetaZetaKRS@oppf.org
Chi,Basileus,ChiBasileus@oppf.org
Chi,KRS,ChiKRS@oppf.org
Chi Alpha,Basileus,ChiAlphaBasileus@oppf.org
Chi Alpha,KRS,ChiAlphaKRS@oppf.org
Chi Alpha Alpha,Basileus,ChiAlphaAlphaBasileus@oppf.org
Chi Alpha Alpha,KRS,ChiAlphaAlphaKRS@oppf.org
Chi Beta,Basileus,ChiBetaBasileus@oppf.org
Chi Beta,KRS,ChiBetaKRS@oppf.org
Chi Beta Beta,Basileus,ChiBetaBetaBasileus@oppf.org
Chi Beta Beta,KRS,ChiBetaBetaKRS@oppf.org
Chi Chi,Basileus,ChiChiBasileus@oppf.org
Chi Chi,KRS,ChiChiKRS@oppf.org
Chi Delta,Basileus,ChiDeltaBasileus@oppf.org
Chi Delta,KRS,ChiDeltaKRS@oppf.org
Chi Delta Delta,Basileus,ChiDeltaDeltaBasileus@oppf.org
Chi Delta Delta,KRS,ChiDeltaDeltaKRS@oppf.org
Chi Epsilon,Basileus,ChiEpsilonBasileus@oppf.org
Chi Epsilon,KRS,ChiEpsilonKRS@oppf.org
Chi Eta,Basileus,ChiEtaBasileus@oppf.org
Chi Eta,KRS,ChiEtaKRS@oppf.org
Chi Gamma,Basileus,ChiGammaBasileus@oppf.org
Chi Gamma,KRS,ChiGammaKRS@oppf.org
Chi Gamma Gamma,Basileus,ChiGammaGammaBasileus@oppf.org
Chi Gamma Gamma,KRS,ChiGammaGammaKRS@oppf.org
Chi Iota,Basileus,ChiIotaBasileus@oppf.org
Chi Iota,KRS,ChiIotaKRS@oppf.org
Chi Iota Iota,Basileus,ChiIotaIotaBasileus@oppf.org
Chi Iota Iota,KRS,ChiIotaIotaKRS@oppf.org
Chi Kappa,Basileus,ChiKappaBasileus@oppf.org
Chi Kappa,KRS,ChiKappaKRS@oppf.org
Chi Kappa Kappa,Basileus,ChiKappaKappaBasileus@oppf.org
Chi Kappa Kappa,KRS,ChiKappaKappaKRS@oppf.org
Chi Lambda,Basileus,ChiLambdaBasileus@oppf.org
Chi Lambda,KRS,ChiLambdaKRS@oppf.org
Chi Lambda Lambda,Basileus,ChiLambdaLambdaBasileus@oppf.org
Chi Lambda Lambda,KRS,ChiLambdaLambdaKRS@oppf.org
Chi Mu,Basileus,ChiMuBasileus@oppf.org
Chi Mu,KRS,ChiMuKRS@oppf.org
Chi Mu Mu,Basileus,ChiMuMuBasileus@oppf.org
Chi Mu Mu,KRS,ChiMuMuKRS@oppf.org
Chi Mu Nu,Basileus,ChiMuNuBasileus@oppf.org
Chi Mu Nu,KRS,ChiMuNuKRS@oppf.org
Chi Nu,Basileus,ChiNuBasileus@oppf.org
Chi Nu,KRS,ChiNuKRS@oppf.org
Chi Nu Nu,Basileus,ChiNuNuBasileus@oppf.org
Chi Nu Nu,KRS,ChiNuNuKRS@oppf.org
Chi Omega,Basileus,ChiOmegaBasileus@oppf.org
Chi Omega,KRS,ChiOmegaKRS@oppf.org
Chi Omicron,Basileus,ChiOmicronBasileus@oppf.org
Chi Omicron,KRS,ChiOmicronKRS@oppf.org
Chi Phi,Basileus,ChiPhiBasileus@oppf.org
Chi Phi,KRS,ChiPhiKRS@oppf.org
Chi Pi,Basileus,ChiPiBasileus@oppf.org
Chi Pi,KRS,ChiPiKRS@oppf.org
Chi Psi,Basileus,ChiPsiBasileus@oppf.org
Chi Psi,KRS,ChiPsiKRS@oppf.org
Chi Rho,Basileus,ChiRhoBasileus@oppf.org
Chi Rho,KRS,ChiRhoKRS@oppf.org
Chi Sigma,Basileus,ChiSigmaBasileus@oppf.org
Chi Sigma,KRS,ChiSigmaKRS@oppf.org
Chi Tau,Basileus,ChiTauBasileus@oppf.org
Chi Tau,KRS,ChiTauKRS@oppf.org
Chi Tau Tau,Basileus,ChiTauTauBasileus@oppf.org
Chi Tau Tau,KRS,ChiTauTauKRS@oppf.org
Chi Theta,Basileus,ChiThetaBasileus@oppf.org
Chi Theta,KRS,ChiThetaKRS@oppf.org
Chi Upsilon,Basileus,ChiUpsilonBasileus@oppf.org
Chi Upsilon,KRS,ChiUpsilonKRS@oppf.org
Chi Xi,Basileus,ChiXiBasileus@oppf.org
Chi Xi,KRS,ChiXiKRS@oppf.org
Chi Zeta,Basileus,ChiZetaBasileus@oppf.org
Chi Zeta,KRS,ChiZetaKRS@oppf.org
Delta,Basileus,DeltaBasileus@oppf.org
Delta,KRS,DeltaKRS@oppf.org
Delta Alpha,Basileus,DeltaAlphaBasileus@oppf.org
Delta Alpha,KRS,DeltaAlphaKRS@oppf.org
Delta Alpha Alpha,Basileus,DeltaAlphaAlphaBasileus@oppf.org
Delta Alpha Alpha,KRS,DeltaAlphaAlphaKRS@oppf.org
Delta Beta,Basileus,DeltaBetaBasileus@oppf.org
Delta Beta,KRS,DeltaBetaKRS@oppf.org
Delta Beta Beta,Basileus,DeltaBetaBetaBasileus@oppf.org
Delta Beta Beta,KRS,DeltaBetaBetaKRS@oppf.org
Delta Chi,Basileus,DeltaChiBasileus@oppf.org
Delta Chi,KRS,DeltaChiKRS@oppf.org
Delta Delta,Basileus,DeltaDeltaBasileus@oppf.org
Delta Delta,KRS,DeltaDeltaKRS@oppf.org
Delta Delta Delta,Basileus,DeltaDeltaDeltaBasileus@oppf.org
Delta Delta Delta,KRS,DeltaDeltaDeltaKRS@oppf.org
Delta Epsilon,Basileus,DeltaEpsilonBasileus@oppf.org
Delta Epsilon,KRS,DeltaEpsilonKRS@oppf.org
Delta Eta,Basileus,DeltaEtaBasileus@oppf.org
Delta Eta,KRS,DeltaEtaKRS@oppf.org
Delta Gamma,Basileus,DeltaGammaBasileus@oppf.org
Delta Gamma,KRS,DeltaGammaKRS@oppf.org
Delta Gamma Gamma,Basileus,DeltaGammaGammaBasileus@oppf.org
Delta Gamma Gamma,KRS,DeltaGammaGammaKRS@oppf.org
Delta Iota,Basileus,DeltaIotaBasileus@oppf.org
Delta Iota,KRS,DeltaIotaKRS@oppf.org
Delta Iota Iota,Basileus,DeltaIotaIotaBasileus@oppf.org
Delta Iota Iota,KRS,DeltaIotaIotaKRS@oppf.org
Delta Kappa,Basileus,DeltaKappaBasileus@oppf.org
Delta Kappa,KRS,DeltaKappaKRS@oppf.org
Delta Kappa Kappa,Basileus,DeltaKappaKappaBasileus@oppf.org
Delta Kappa Kappa,KRS,DeltaKappaKappaKRS@oppf.org
Delta Lambda,Basileus,DeltaLambdaBasileus@oppf.org
Delta Lambda,KRS,DeltaLambdaKRS@oppf.org
Delta Lambda Lambda,Basileus,DeltaLambdaLambdaBasileus@oppf.org
Delta Lambda Lambda,KRS,DeltaLambdaLambdaKRS@oppf.org
Delta Mu,Basileus,DeltaMuBasileus@oppf.org
Delta Mu,KRS,DeltaMuKRS@oppf.org
Delta Mu Mu,Basileus,DeltaMuMuBasileus@oppf.org
Delta Mu Mu,KRS,DeltaMuMuKRS@oppf.org
Delta Mu Nu,Basileus,DeltaMuNuBasileus@oppf.org
Delta Mu Nu,KRS,DeltaMuNuKRS@oppf.org
Delta Nu,Basileus,DeltaNuBasileus@oppf.org
Delta Nu,KRS,DeltaNuKRS@oppf.org
Delta Nu Nu,Basileus,DeltaNuNuBasileus@oppf.org
Delta Nu Nu,KRS,DeltaNuNuKRS@oppf.org
Delta Omega,Basileus,DeltaOmegaBasileus@oppf.org
Delta Omega,KRS,DeltaOmegaKRS@oppf.org
Delta Omicron,Basileus,DeltaOmicronBasileus@oppf.org
Delta Omicron,KRS,DeltaOmicronKRS@oppf.org
Delta Phi,Basileus,DeltaPhiBasileus@oppf.org
Delta Phi,KRS,DeltaPhiKRS@oppf.org
Delta Pi,Basileus,DeltaPiBasileus@oppf.org
Delta Pi,KRS,DeltaPiKRS@oppf.org
Delta Psi,Basileus,DeltaPsiBasileus@oppf.org
Delta Psi,KRS,DeltaPsiKRS@oppf.org
Delta Rho,Basileus,DeltaRhoBasileus@oppf.org
Delta Rho,KRS,DeltaRhoKRS@oppf.org
Delta Sigma,Basileus,DeltaSigmaBasileus@oppf.org
Delta Sigma,KRS,DeltaSigmaKRS@oppf.org
Delta Tau,Basileus,DeltaTauBasileus@oppf.org
Delta Tau,KRS,DeltaTauKRS@oppf.org
Delta Theta,Basileus,DeltaThetaBasileus@oppf.org
Delta Theta,KRS,DeltaThetaKRS@oppf.org
Delta Upsilon,Basileus,DeltaUpsilonBasileus@oppf.org
Delta Upsilon,KRS,DeltaUpsilonKRS@oppf.org
Delta Xi,Basileus,DeltaXiBasileus@oppf.org
Delta Xi,KRS,DeltaXiKRS@oppf.org
Delta Xi Nu,Basileus,DeltaXiNuBasileus@oppf.org
Delta Xi Nu,KRS,DeltaXiNuKRS@oppf.org
Delta Zeta,Basileus,DeltaZetaBasileus@oppf.org
Delta Zeta,KRS,DeltaZetaKRS@oppf.org
District 14,Basileus,District14Basileus@oppf.org
District 14,KRS,District14KRS@oppf.org
Epsilon,Basileus,EpsilonBasileus@oppf.org
Epsilon,KRS,EpsilonKRS@oppf.org
Epsilon Alpha,Basileus,EpsilonAlphaBasileus@oppf.org
Epsilon Alpha,KRS,EpsilonAlphaKRS@oppf.org
Epsilon Alpha Alpha,Basileus,EpsilonAlphaAlphaBasileus@oppf.org
Epsilon Alpha Alpha,KRS,EpsilonAlphaAlphaKRS@oppf.org
Epsilon Beta,Basileus,EpsilonBetaBasileus@oppf.org
Epsilon Beta,KRS,EpsilonBetaKRS@oppf.org
Epsilon Beta Beta,Basileus,EpsilonBetaBetaBasileus@oppf.org
Epsilon Beta Beta,KRS,EpsilonBetaBetaKRS@oppf.org
Epsilon Chi,Basileus,EpsilonChiBasileus@oppf.org
Epsilon Chi,KRS,EpsilonChiKRS@oppf.org
Epsilon Delta,Basileus,EpsilonDeltaBasileus@oppf.org
Epsilon Delta,KRS,EpsilonDeltaKRS@oppf.org
Epsilon Delta Delta,Basileus,EpsilonDeltaDeltaBasileus@oppf.org
Epsilon Delta Delta,KRS,EpsilonDeltaDeltaKRS@oppf.org
Epsilon Epsilon,Basileus,EpsilonEpsilonBasileus@oppf.org
Epsilon Epsilon,KRS,EpsilonEpsilonKRS@oppf.org
Epsilon Eta,Basileus,EpsilonEtaBasileus@oppf.org
Epsilon Eta,KRS,EpsilonEtaKRS@oppf.org
Epsilon Gamma,Basileus,EpsilonGammaBasileus@oppf.org
Epsilon Gamma,KRS,EpsilonGammaKRS@oppf.org
Epsilon Gamma Gamma,Basileus,EpsilonGammaGammaBasileus@oppf.org
Epsilon Gamma Gamma,KRS,EpsilonGammaGammaKRS@oppf.org
Epsilon Iota,Basileus,EpsilonIotaBasileus@oppf.org
Epsilon Iota,KRS,EpsilonIotaKRS@oppf.org
Epsilon Iota Iota,Basileus,EpsilonIotaIotaBasileus@oppf.org
Epsilon Iota Iota,KRS,EpsilonIotaIotaKRS@oppf.org
Epsilon Kappa,Basileus,EpsilonKappaBasileus@oppf.org
Epsilon Kappa,KRS,EpsilonKappaKRS@oppf.org
Epsilon Kappa Kappa,Basileus,EpsilonKappaKappaBasileus@oppf.org
Epsilon Kappa Kappa,KRS,EpsilonKappaKappaKRS@oppf.org
Epsilon Lambda,Basileus,EpsilonLambdaBasileus@oppf.org
Epsilon Lambda,KRS,EpsilonLambdaKRS@oppf.org
Epsilon Lambda Lambda,Basileus,EpsilonLambdaLambdaBasileus@oppf.org
Epsilon Lambda Lambda,KRS,EpsilonLambdaLambdaKRS@oppf.org
Epsilon Mu,Basileus,EpsilonMuBasileus@oppf.org
Epsilon Mu,KRS,EpsilonMuKRS@oppf.org
Epsilon Mu Mu,Basileus,EpsilonMuMuBasileus@oppf.org
Epsilon Mu Mu,KRS,EpsilonMuMuKRS@oppf.org
Epsilon Mu Nu,Basileus,EpsilonMuNuBasileus@oppf.org
Epsilon Mu Nu,KRS,EpsilonMuNuKRS@oppf.org
Epsilon Nu,Basileus,EpsilonNuBasileus@oppf.org
Epsilon Nu,KRS,EpsilonNuKRS@oppf.org
Epsilon Nu Nu,Basileus,EpsilonNuNuBasileus@oppf.org
Epsilon Nu Nu,KRS,EpsilonNuNuKRS@oppf.org
Epsilon Omega,Basileus,EpsilonOmegaBasileus@oppf.org
Epsilon Omega,KRS,EpsilonOmegaKRS@oppf.org
Epsilon Omicron,Basileus,EpsilonOmicronBasileus@oppf.org
Epsilon Omicron,KRS,EpsilonOmicronKRS@oppf.org
Epsilon Phi,Basileus,EpsilonPhiBasileus@oppf.org
Epsilon Phi,KRS,EpsilonPhiKRS@oppf.org
Epsilon Pi,Basileus,EpsilonPiBasileus@oppf.org
Epsilon Pi,KRS,EpsilonPiKRS@oppf.org
Epsilon Psi,Basileus,EpsilonPsiBasileus@oppf.org
Epsilon Psi,KRS,EpsilonPsiKRS@oppf.org
Epsilon Rho,Basileus,EpsilonRhoBasileus@oppf.org
Epsilon Rho,KRS,EpsilonRhoKRS@oppf.org
Epsilon Sigma,Basileus,EpsilonSigmaBasileus@oppf.org
Epsilon Sigma,KRS,EpsilonSigmaKRS@oppf.org
Epsilon Tau,Basileus,EpsilonTauBasileus@oppf.org
Epsilon Tau,KRS,EpsilonTauKRS@oppf.org
Epsilon Theta,Basileus,EpsilonThetaBasileus@oppf.org
Epsilon Theta,KRS,EpsilonThetaKRS@oppf.org
Epsilon Upsilon,Basileus,EpsilonUpsilonBasileus@oppf.org
Epsilon Upsilon,KRS,EpsilonUpsilonKRS@oppf.org
Epsilon Xi,Basileus,EpsilonXiBasileus@oppf.org
Epsilon Xi,KRS,EpsilonXiKRS@oppf.org
Epsilon Xi Nu,Basileus,EpsilonXiNuBasileus@oppf.org
Epsilon Xi Nu,KRS,EpsilonXiNuKRS@oppf.org
Epsilon Zeta,Basileus,EpsilonZetaBasileus@oppf.org
Epsilon Zeta,KRS,EpsilonZetaKRS@oppf.org
Eta,Basileus,EtaBasileus@oppf.org
Eta,KRS,EtaKRS@oppf.org
Eta Alpha,Basileus,EtaAlphaBasileus@oppf.org
Eta Alpha,KRS,EtaAlphaKRS@oppf.org
