Chapter,Email
Zeta Omega,earl.nelson63@gmail.com
Epsilon,Epsilon@iotaphitheta.org
Epsilon Chi,epsilonchi@iotaphitheta.org
Epsilon Epsilon,epsilonepsilon@iotaphithpsilon.org
Epsilon Lambda,epsilonlambda@iotaphitheta.org
Epsilon Sigma,epsilonsigma@iotaphitheta.org
Epsilon Tau,epsilontau@iotaphitheta.org
Epsilon Upsilon,epsilonupsilon@iotaphitheta.org
Eta Alpha,etaalpha@iotaphitheta.org
Eta Mu,etamu@iotaphitheta.org
Eta Nu,etanu@iotaphitheta.org
Eta Psi,etapsi@iotaphitheta.org
Gamma Alpha,gammaalpha@iotaphitheta.org
Gamma Beta,gammabeta@iotaphitheta.org
Gamma Chi Omega,gammachiomega@iotaphithamma.org
Gamma Iota,gammaiota@iotaphitheta.org
Gamma Phi Omega,gammaphiomegaiotas@gmail.com
Gamma Psi Omega,gammapsiomega@iotaphithamma.org
Gamma Zeta Omega,gammazetaomega@iotaphitheta.org
Iota Beta,iotabeta@iotaphithota.org
Iota Gamma,iotagamma@iotaphithota.org
Omega,omega@iotaphitheta.org
Omicron,omicron@iotaphitheta.org
Phi,phi@iotaphithhi.org
Phi Omega,phiomega@iotaphitheta.org
Pi,pi@iotaphitheta.org
Pi Omega,piomega@iotaphitheta.org
Rho Omega,rhoomega@iotaphitheta.org
Sigma,sigma@iotaphitheta.org
Tau,tau@iotaphitheta.org
Tau Omega,tauomega@iotaphitheta.org
Theta Alpha,thetaalpha@iotaphitheta.org
Theta Delta,thetadelta@iotaphitheta.org
Theta Rho,thetarho@iotaphitheta.org
Theta Sigma,thetasigma@iotaphitheta.org
Zeta Gamma,zetagamma@iotaphitheta.org
Zeta Iota,zetaiota@iotaphitheta.org
Zeta Theta,zetatheta@iotaphitheta.org
Alpha Lambda Omega,Omega@iotaphitheta.org
Alpha Chi Omega,alphachiomega@iotaphitheta.org
Alpha Gamma,alphagamma@iotaphitheta.org
Alpha Pi,alphapi@iotaphitheta.org
Alpha Pi Omega,alphapiomega@iotaphitheta.org
Alpha Psi Omega,alphapsiomega@iotaphitheta.org
Beta Chi,betachi@iotaphitheta.org
Beta Eta Omega,betaetaomega@iotaphitheta.org
Beta Mu Omega,betamuomega@iotaphitheta.org
Beta Psi Omega,betapsiomega@iotaphitheta.org
Beta Upsilon Omega,betaupsilonomega@iotaphitheta.org
Delta Delta Omega,deltadeltaomega@iotaphithelta.org
Delta Eta,deltaeta@iotaphitheta.org
Delta Eta Omega,deltaetaomega@iotaphithelta.org
Delta Iota Omega,deltaiotaomega@iotaphitheta.org
Delta Phi,deltaphi@iotaphitheta.org
Delta Psi,deltapsi@iotaphitheta.org
Delta Rho Omega,deltarhoomega@iotaphitheta.org
Delta Sigma,deltasigma@iotaphitheta.org
Delta Theta,deltatheta@iotaphitheta.org
Epsilon Beta,epsilonbeta@iotaphitheta.org
Epsilon Eta,epsiloneta@iotaphitheta.org
Epsilon Nu,epsilonnu@iotaphitheta.org
Epsilon Omega,epsilonomega@iotaphitheta.org
Epsilon Omicron,epsilonomicron@iotaphitheta.org
Epsilon Psi,epsilonpsi@iotaphitheta.org
Epsilon Xi,EpsilonXi@westgaiotas.com
Eta Beta,etabeta@iotaphitheta.org
Eta Gamma,etagamma@iotaphitheta.org
Eta Kappa,etakappa@iotaphitheta.org
Eta Upsilon,etaupsilon@iotaphitheta.org
Eta Sigma,Fiu.iotas@gmail.com
Gamma Chi,gammachi@iotaphitheta.org
Gamma Delta Omega,gammadeltaomega@iotaphitheta.org
Gamma Kappa Omega,gammakappaomega@iotaphitheta.org
Gamma Mu Omega,gammamuomega@iotaphitheta.org
Gamma Omicron,gammaomicron@iotaphithamma.org
Gamma Psi,gammapsi@iotaphitheta.org
Gamma Tau Omega,gammatauomega@iotaphithamma.org
Iota Alpha,iotaalpha@iotaphithota.org
Iota Kappa,iotakappa@iotaphitheta.org
Iota Lambda,Iotalambda@iotaphitheta.org
Theta Iota,thetaiota@iotaphitheta.org
Theta Mu,thetamu@iotaphitheta.org
Theta Pi,Thetapi@iotaphitheta.org
Theta Tau,thetatau@iotaphitheta.org
Gamma Epsilon Omega,vincent.j.knowles@gmail.com
Zeta Chi,zetachi@iotaphitheta.org
Zeta Delta,zetadelta@iotaphitheta.org
Zeta Kappa,zetakappa@iotaphitheta.org
Zeta Lambda,zetalambda@iotaphitheta.org
Zeta Pi,zetapi@iotaphitheta.org
Zeta Zeta,zetazeta@iotaphitheta.org
