Chapter Name,State,Chapter Type,Email
DELTA SIGMA CHAPTER,Florida,Collegiate,mtaylor2021@my.fit.edu
EPSILON ZETA CHAPTER,Florida,Collegiate,gphibezpresident@gmail.com
BETA MU CHAPTER,Florida,Collegiate,fsugammaphipresident@gmail.com
ETA BETA CHAPTER,Florida,Collegiate,etabetapres@gmail.com
ETA LAMBDA CHAPTER,Florida,Collegiate,gammaphibetaucf@gmail.com
ETA ETA CHAPTER,Florida,Collegiate,gammaphibetausf@gmail.com
ETA XI CHAPTER,Florida,Collegiate,ufgbppresident@gmail.com
ATLANTA ALUMNAE CHAPTER,Georgia,Alumnae,gammaphibetaatl@gmail.com
ATLANTA SOUTHERN CRESCENT ALUMNAE CHAPTER,Georgia,Alumnae,southerncrescentgphib@gmail.com
DELTA UPSILON CHAPTER,Georgia,Collegiate,ugagpbpresident@gmail.com
ZETA TAU CHAPTER,Georgia,Collegiate,gpb.zt.pres2021@gmail.com
ZETA OMEGA CHAPTER,Georgia,Collegiate,ksugpbpresident@gmail.com
HAWAII ALUMNAE CHAPTER,Hawaii,Alumnae,gammaphibeta.hi@gmail.com
BOISE ALUMNAE CHAPTER,Idaho,Alumnae,
MOSCOW ALUMNAE CHAPTER,Idaho,Alumnae,marie@uidaho.edu
XI CHAPTER,Idaho,Collegiate,gpb_xi_chapter@hotmail.com
CHICAGO ALUMNAE CHAPTER,Illinois,Alumnae,tamara.darice290@gmail.com
CHICAGO NORTHWEST SUBURBAN ALUMNAE CHAPTER,Illinois,Alumnae,gpbalumnaenw@yahoo.com
EVANSTON NORTH SHORE ALUMNAE CHAPTER,Illinois,Alumnae,bgaabo@comcast.net
CHICAGO FAR WEST SUBURBAN ALUMNAE CHAPTER,Illinois,Alumnae,drlgphib@gmail.com
PEORIA ALUMNAE CHAPTER,Illinois,Alumnae,gwetzel1965@gmail.com
DELTA PI CHAPTER,Illinois,Collegiate,deltapiadvisors@gmail.com
OMICRON CHAPTER,Illinois,Collegiate,gphibpres@gmail.com
BETA ETA CHAPTER,Illinois,Collegiate,
BLOOMINGTON ALUMNAE CHAPTER,Indiana,Alumnae,jem.cookman@gmail.com
EVANSVILLE ALUMNAE CHAPTER,Indiana,Alumnae,evansville.alumnae@gmail.com
INDIANAPOLIS ALUMNAE CHAPTER,Indiana,Alumnae,lprice12@indy.rr.com
DELTA IOTA CHAPTER,Indiana,Collegiate,president.deltaiota1874@gmail.com
BETA PI CHAPTER,Indiana,Collegiate,
BETA PHI CHAPTER,Indiana,Collegiate,iugpbpresident@gmail.com
ZETA IOTA CHAPTER,Indiana,Collegiate,gpb.president@valpo.edu
ZETA KAPPA CHAPTER,Indiana,Collegiate,zetakappapresident1@gmail.com
CEDAR RAPIDS ALUMNAE CHAPTER,Iowa,Alumnae,nbklopp@msn.com
GREATER DES MOINES ALUMNAE CHAPTER,Iowa,Alumnae,ashowers08@gmail.com
CEDAR VALLEY ALUMNAE CHAPTER,Iowa,Alumnae,samantha.wehr@gmail.com
RHO CHAPTER,Iowa,Collegiate,
OMEGA CHAPTER,Iowa,Collegiate,gammaphibeta@iastate.edu
GAMMA PSI CHAPTER,Iowa,Collegiate,gammapsi.chapterpresident@gmail.com
MANHATTAN ALUMNAE CHAPTER,Kansas,Alumnae,mallory.ayers@gmail.com
WICHITA ALUMNAE CHAPTER,Kansas,Alumnae,gammaphialum@gmail.com
GREATER KANSAS CITY ALUMNAE CHAPTER,Kansas,Alumnae,president@kcgammaphibeta.com
SIGMA CHAPTER,Kansas,Collegiate,kugphipresident@gmail.com
BETA UPSILON CHAPTER,Kansas,Collegiate,gpb@ksu.edu
BETA CHI CHAPTER,Kansas,Collegiate,gphinotify@gmail.com
LOUISVILLE ALUMNAE CHAPTER,Kentucky,Alumnae,Chandram1874@yahoo.com
CENTRAL KENTUCKY ALUMNAE CHAPTER,Kentucky,Alumnae,lexgphib@gmail.com
EPSILON SIGMA CHAPTER,Kentucky,Collegiate,esgphibpres@gmail.com
GAMMA OMICRON CHAPTER,Kentucky,Collegiate,ukgpbpresident@gmail.com
EPSILON MU CHAPTER,Louisiana,Collegiate,president.epsilonmu.gphib@gmail.com
ETA UPSILON CHAPTER,Louisiana,Collegiate,nsu.gpbpresident@gmail.com
BETA BETA CHAPTER,Maryland,Collegiate,umdgpbpresident@gmail.com
BOSTON ALUMNAE CHAPTER,Massachusetts,Alumnae,bostongphi@gmail.com
SOUTHERN NEW ENGLAND ALUMNAE CHAPTER,Massachusetts,Alumnae,sneac.gphib@gmail.com
EPSILON ETA CHAPTER,Massachusetts,Collegiate,gammaphibetaeh@gmail.com
EPSILON PHI CHAPTER,Massachusetts,Collegiate,gammaphibentley@gmail.com
DELTA CHAPTER,Massachusetts,Collegiate,prez.delta@gmail.com
GREATER LANSING AREA ALUMNAE CHAPTER,Michigan,Alumnae,smlutz@hotmail.com
DETROIT METRO ALUMNAE CHAPTER,Michigan,Alumnae,melrondy73@gmail.com
GRAND RAPIDS ALUMNAE CHAPTER,Michigan,Alumnae,schillee@gvsu.edu
OAKLAND COUNTY ALUMNAE CHAPTER,Michigan,Alumnae,ocacgammaphibeta@gmail.com
DELTA OMEGA CHAPTER,Michigan,Collegiate,presidentdeltaomega.gpb@gmail.com
EPSILON BETA CHAPTER,Michigan,Collegiate,epsilonbetagpb@gmail.com
BETA CHAPTER,Michigan,Collegiate,gammaphibetaumich@gmail.com
BETA DELTA CHAPTER,Michigan,Collegiate,gammaphibetadelta@gmail.com
ZETA NU CHAPTER,Michigan,Collegiate,gphizetanu@gmail.com
ETA DELTA CHAPTER,Michigan,Collegiate,gphib.etadelta.president@gmail.com
MINNEAPOLIS-ST. PAUL ALUMNAE CHAPTER,Minnesota,Alumnae,twincitiesgammaphibeta@gmail.com
KAPPA CHAPTER,Minnesota,Collegiate,gammaphi@umn.edu
GAMMA PI CHAPTER,Minnesota,Collegiate,gammaphibetasorority@mail.mnsu.edu
CENTRAL MISSOURI ALUMNAE CHAPTER,Missouri,Alumnae,annettemgraves@gmail.com
SAINT LOUIS ALUMNAE CHAPTER,Missouri,Alumnae,president@gpbstl.org
DELTA NU CHAPTER,Missouri,Collegiate,gpbdeltanupresident@gmail.com
ZETA DELTA CHAPTER,Missouri,Collegiate,zetadeltapres@gmail.com
PHI CHAPTER,Missouri,Collegiate,cp.washugpb@gmail.com
ALPHA DELTA CHAPTER,Missouri,Collegiate,mizzougammaphi@gmail.com
GAMMA TAU CHAPTER,Missouri,Collegiate,slugphipresident@gmail.com
ETA IOTA CHAPTER,Missouri,Collegiate,gammaphibetarockhurst@gmail.com
ETA SIGMA CHAPTER,Missouri,Collegiate,gammaphibetaucm@gmail.com
KEARNEY ALUMNAE CHAPTER,Nebraska,Alumnae,potthoffla21@gmail.com
LINCOLN ALUMNAE CHAPTER,Nebraska,Alumnae,lincolngpbalums@gmail.com
OMAHA ALUMNAE CHAPTER,Nebraska,Alumnae,mgeraghty@cox.net
EPSILON DELTA CHAPTER,Nebraska,Collegiate,hannahhoedl@creighton.edu
PI CHAPTER,Nebraska,Collegiate,pichapterpresident@gmail.com
GAMMA KAPPA CHAPTER,Nebraska,Collegiate,GammaKappaAVP@gmail.com
LAS VEGAS VALLEY ALUMNAE CHAPTER,Nevada,Alumnae,gpb.lvv.alumnae@gmail.com
NORTHERN NEVADA ALUMNAE CHAPTER,Nevada,Alumnae,nnvalumnichaptergammaphibeta@gmail.com
ETA RHO CHAPTER,Nevada,Collegiate,unlvgammaphibetapresident@gmail.com
BERGEN COUNTY ALUMNAE CHAPTER,New Jersey,Alumnae,colhar9@gmail.com
PRINCETON ALUMNAE CHAPTER,New Jersey,Alumnae,cathymcmann@comcast.net
SOUTH JERSEY ALUMNAE CHAPTER,New Jersey,Alumnae,nellcaseyc21@aol.com
DELTA MU CHAPTER,New Jersey,Collegiate,president.gphib@gmail.com
ALBUQUERQUE ALUMNAE CHAPTER,New Mexico,Alumnae,walsshar01@gmail.com
NEW YORK CITY ALUMNAE CHAPTER,New York,Alumnae,
ROCHESTER ALUMNAE CHAPTER,New York,Alumnae,rlanthie6@gmail.com
SYRACUSE ALUMNAE CHAPTER,New York,Alumnae,deidre.elleman990@gmail.com
ALBANY ALUMNAE CHAPTER,New York,Alumnae,adribest@gmail.com
ALPHA CHAPTER,New York,Collegiate,
DELTA TAU CHAPTER,New York,Collegiate,president.deltatau@gmail.com
EPSILON EPSILON CHAPTER,New York,Collegiate,
EPSILON TAU CHAPTER,New York,Collegiate,urgammaphibetaet@gmail.com
IOTA CHAPTER,New York,Collegiate,gammaphibetacolumbia@gmail.com
ZETA MU CHAPTER,New York,Collegiate,zetamuexec@gmail.com
CHARLOTTE ALUMNAE CHAPTER,North Carolina,Alumnae,gamma.charlotte@gmail.com
RALEIGH ALUMNAE CHAPTER,North Carolina,Alumnae,raleighgpb@gmail.com
EPSILON PSI CHAPTER,North Carolina,Collegiate,gammaphiepsilonpsi@gmail.com
FARGO-MOORHEAD ALUMNAE CHAPTER,North Dakota,Alumnae,gpbfmalumnae@hotmail.com
ALPHA BETA CHAPTER,North Dakota,Collegiate,kendal.blair@und.edu
GREATER AKRON ALUMNAE CHAPTER,Ohio,Alumnae,greaterakronalumnaegpb@gmail.com
CINCINNATI ALUMNAE CHAPTER,Ohio,Alumnae,CincinnatiGammaPhiBeta@gmail.com
CLEVELAND EAST ALUMNAE CHAPTER,Ohio,Alumnae,clegammaphibeta@gmail.com
COLUMBUS ALUMNAE CHAPTER,Ohio,Alumnae,gpbcolumbusalumnae@gmail.com
DAYTON ALUMNAE CHAPTER,Ohio,Alumnae,jenniespraggs@gmail.com
TOLEDO ALUMNAE CHAPTER,Ohio,Alumnae,cavalos.gpb@gmail.com
ALPHA NU CHAPTER,Ohio,Collegiate,gammaphibeta@wittenberg.edu
BETA EPSILON CHAPTER,Ohio,Collegiate,gammaphipresident00@gmail.com
BETA XI CHAPTER,Ohio,Collegiate,president.gammaphi.osu@gmail.com
ZETA OMICRON CHAPTER,Ohio,Collegiate,lkoppleman26@jcu.edu
ETA ZETA CHAPTER,Ohio,Collegiate,etazetagpb.cp@gmail.com
ETA OMICRON CHAPTER,Ohio,Collegiate,gammaphibetaohiou@gmail.com
CENTRAL OKLAHOMA ALUMNAE CHAPTER,Oklahoma,Alumnae,h-boyd13@hotmail.com
TULSA ALUMNAE CHAPTER,Oklahoma,Alumnae,gammaphitulsa@gmail.com
PSI CHAPTER,Oklahoma,Collegiate,gammaphibeta@gmail.com
BETA OMICRON CHAPTER,Oklahoma,Collegiate,gammaphibetabetaomicron@gmail.com
BETA PSI CHAPTER,Oklahoma,Collegiate,osugphipresident@gmail.com
TORONTO ALUMNAE CHAPTER,Ontario,Alumnae,gtacrescent@gmail.com
OTTAWA-GATINEAU ALUMNAE CHAPTER,Ontario,Alumnae,gammaphibetaottawa@gmail.com
ALPHA ALPHA CHAPTER,Ontario,Collegiate,gpb.alphaalpha@gmail.com
CORVALLIS ALUMNAE CHAPTER,Oregon,Alumnae,barbaraboenzli@gmail.com
PORTLAND ALUMNAE CHAPTER,Oregon,Alumnae,gpbalumspdx@gmail.com
NU CHAPTER,Oregon,Collegiate,nu.president1@gmail.com
EUGENE ALUMNAE CHAPTER,Oregon,Alumnae,Trudi@diffendaffer.com
PHILADELPHIA NORTH ALUMNAE CHAPTER,Pennsylvania,Alumnae,sea8golf@gmail.com
PHILADELPHIA WEST ALUMNAE CHAPTER,Pennsylvania,Alumnae,cathleenmccormick312@gmail.com
DELTA KAPPA CHAPTER,Pennsylvania,Collegiate,ribarich16@gmail.com
EPSILON ALPHA CHAPTER,Pennsylvania,Collegiate,gammaphibetaeapres@gmail.com
ZETA EPSILON CHAPTER,Pennsylvania,Collegiate,duqgammaphipres@gmail.com
STATE COLLEGE ALUMNAE CHAPTER,Pennsylvania,Alumnae,rbierly22@gmail.com
ALPHA UPSILON CHAPTER,Pennsylvania,Collegiate,alphaupsilon.pres@gmail.com
GAMMA BETA CHAPTER,Pennsylvania,Collegiate,
ALPHA TAU CHAPTER,Quebec,Collegiate,gammaphibeta@gmail.com
CHARLESTON ALUMNAE CHAPTER,South Carolina,Alumnae,charlestongammaphibeta@gmail.com
EPSILON THETA CHAPTER,South Carolina,Collegiate,
ZETA ZETA CHAPTER,South Carolina,Collegiate,gphibzz@gmail.com
ZETA ETA CHAPTER,South Carolina,Collegiate,gammaphibetazh@gmail.com
ZETA SIGMA CHAPTER,South Carolina,Collegiate,gpbzs.president@gmail.com
MEMPHIS ALUMNAE CHAPTER,Tennessee,Alumnae,steph.coons@mac.com
NASHVILLE ALUMNAE CHAPTER,Tennessee,Alumnae,gpbnash@gmail.com
DALLAS ALUMNAE CHAPTER,Texas,Alumnae,gammaphidallas@gmail.com
GREATER FORT WORTH ALUMNAE CHAPTER,Texas,Alumnae,meganlwells4@gmail.com
HOUSTON ALUMNAE CHAPTER,Texas,Alumnae,gammaphihoustonalumnae@gmail.com
NORTH HOUSTON ALUMNAE CHAPTER,Texas,Alumnae,northhoustongpb@gmail.com
SAN ANTONIO ALUMNAE CHAPTER,Texas,Alumnae,sanantoniogammaphi@gmail.com
WICHITA FALLS ALUMNAE CHAPTER,Texas,Alumnae,president.gammaphibetawfac@gmail.com
GAMMA ZETA CHAPTER,Texas,Collegiate,presidentgammazeta1874@gmail.com
GAMMA IOTA CHAPTER,Texas,Collegiate,president.gammaiota.mwsu@gmail.com
GAMMA CHI CHAPTER,Texas,Collegiate,gpbtxstatepresident@gmail.com
ZETA LAMBDA CHAPTER,Texas,Collegiate,advisorszetalambda@gmail.com
ZETA RHO CHAPTER,Texas,Collegiate,aggiegammaphi@gmail.com
ZETA CHI CHAPTER,Texas,Collegiate,tcu.gpb@gmail.com
KATY ALUMNAE CHAPTER,Texas,Alumnae,swtbelle64@aol.com
GREATER AUSTIN AREA ALUMNAE CHAPTER,Texas,Alumnae,lgbanks@swbell.net
ZETA PSI CHAPTER,Texas,Collegiate,gammaphi.zetapsi@gmail.com
VERMONT GREEN MOUNTAIN ALUMNAE CHAPTER,Vermont,Alumnae,irdarling26@gmail.com
NORTHERN VIRGINIA ALUMNAE CHAPTER,Virginia,Alumnae,gpbnorthernvaalum@gmail.com
CHARLOTTESVILLE ALUMNAE CHAPTER,Virginia,Alumnae,
EPSILON IOTA CHAPTER,Virginia,Collegiate,gphib@cnu.edu
EPSILON PI CHAPTER,Virginia,Collegiate,presidentepsilonpi@gmail.com
GREATER NORFOLK ALUMNAE CHAPTER,Virginia,Alumnae,gammaphibeta.gnac@gmail.com
FAIRFAX COUNTY ALUMNAE CHAPTER,Virginia,Alumnae,elizabeth.denning@icloud.com
ZETA BETA CHAPTER,Virginia,Collegiate,zetabetapres@gmail.com
ALPHA CHI CHAPTER,Virginia,Collegiate,gphiax@gmail.com
ETA EPSILON CHAPTER,Virginia,Collegiate,
ETA NU CHAPTER,Virginia,Collegiate,gammaphibetajmu@gmail.com
SPOKANE ALUMNAE CHAPTER,Washington,Alumnae,ionaceltic@gmail.com
PUGET SOUND ALUMNAE CHAPTER,Washington,Alumnae,kaileelant@gmail.com
LAMBDA CHAPTER,Washington,Collegiate,uwgpb@outlook.com
ZETA ALPHA CHAPTER,Washington,Collegiate,gpbza.president@gmail.com
BETA SIGMA CHAPTER,Washington,Collegiate,gphibpresidentbetasigma@gmail.com
GAMMA EPSILON CHAPTER,Washington,Collegiate,ups.gammaphi.president@gmail.com
MILWAUKEE ALUMNAE CHAPTER,Wisconsin,Alumnae,gpbmkealumchapter@gmail.com
GAMMA CHAPTER,Wisconsin,Collegiate,
GAMMA GAMMA CHAPTER,Wisconsin,Collegiate,gammaphibeta@uwm.edu
GAMMA RHO CHAPTER,Wisconsin,Collegiate,uwogphib@gmail.com
GAMMA OMEGA CHAPTER,Wisconsin,Collegiate,gammaphi@gmail.com
